sensors,model,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std
all,LR,0.7477455819789453,0.051498739618601644,0.7526122930573121,0.05516395880913788
all,RF,0.8100300336698101,0.029682249055256234,0.8011246823086952,0.03197009592440162
all,SVM,0.8157856959508181,0.04852191125717087,0.8087703154248673,0.05186295610920745
all,XGB,0.804885966239876,0.027810945423211275,0.7924063225611173,0.02773973539051802
feet,LR,0.7277007329958685,0.0767291888071904,0.7324145403168691,0.08118926525687065
feet,RF,0.7682657591991358,0.05166405285320546,0.7635222772902417,0.05617422760899093
feet,SVM,0.7930336628636677,0.053325930020187345,0.7918784743225001,0.05954222740874821
feet,XGB,0.7982040048651212,0.03032967294631894,0.7967072098796816,0.03677872970589105
he,LR,0.7215261440157305,0.05051536992259327,0.7315223218282743,0.058388044357651235
he,RF,0.7851778293523327,0.03780017911857899,0.7744287583622117,0.0403300009786594
he,SVM,0.7864309629072964,0.04373342070674276,0.7816108755332188,0.048210965567368716
he,XGB,0.7626842881136475,0.03886025729602005,0.7590486183087808,0.04100664997001858
lb,LR,0.7373154909754854,0.04746796783753509,0.7471782960418004,0.03775088395657416
lb,RF,0.7092610758004764,0.012328629126259844,0.7017255167161442,0.008684965605880713
lb,SVM,0.7580281759520553,0.04330022654933459,0.7629061043465267,0.036623094248732335
lb,XGB,0.7401430439508798,0.023930150926453033,0.7392464341820428,0.031797121010235456
lf,LR,0.7501459661412033,0.05560733198705043,0.7648534903783318,0.06508783346515766
lf,RF,0.7531405813133976,0.04916621939486018,0.7502842524749797,0.05151054326009031
lf,SVM,0.7612362377711491,0.057254547618780266,0.7688722750644877,0.060692197307120076
lf,XGB,0.7336476664283375,0.06478125314050386,0.733608351511759,0.06825160002103323
rf,LR,0.7655865351392939,0.06390303591697204,0.7713677749905428,0.07362958362381933
rf,RF,0.761353065407112,0.04877358456217224,0.7536262550561552,0.045621245349872754
rf,SVM,0.7933082778556446,0.0406490864180176,0.7920922655744741,0.04392760912007552
rf,XGB,0.7837858022074204,0.034365122808647,0.7828719571038184,0.03723228729170404
subsets_all,LR,0.7477455819789453,0.051498739618601644,0.7526122930573121,0.05516395880913788
subsets_all,RF,0.8100300336698101,0.029682249055256234,0.8011246823086952,0.03197009592440162
subsets_all,SVM,0.8157856959508181,0.04852191125717087,0.8087703154248673,0.05186295610920745
subsets_all,XGB,0.804885966239876,0.027810945423211275,0.7924063225611173,0.02773973539051802
subsets_he,LR,0.7215261440157305,0.05051536992259327,0.7315223218282743,0.058388044357651235
subsets_he,RF,0.7851778293523327,0.03780017911857899,0.7744287583622117,0.0403300009786594
subsets_he,SVM,0.7864309629072964,0.04373342070674276,0.7816108755332188,0.048210965567368716
subsets_he,XGB,0.7626842881136475,0.03886025729602005,0.7590486183087808,0.04100664997001858
subsets_helb,LR,0.7477689076673507,0.045385389519661826,0.7515904944907978,0.046947567781025774
subsets_helb,RF,0.7783856779007683,0.023895092636220878,0.764521970980101,0.019785225829899496
subsets_helb,SVM,0.8057791590024855,0.033770713797665185,0.7964571205521898,0.039050948557488606
subsets_helb,XGB,0.7693967468478274,0.028306174543270224,0.7575530839887878,0.03058330364488328
subsets_helblf,LR,0.7349616540708761,0.056999467118468365,0.7420708389589017,0.06044729106635673
subsets_helblf,RF,0.8077837538923053,0.04240737468817456,0.7940015463074419,0.039537559426331956
subsets_helblf,SVM,0.8105457451931276,0.0590570973796252,0.8067223809852713,0.06070766717330831
subsets_helblf,XGB,0.7887736461560555,0.03334680932230809,0.7751711704200136,0.0312543033858194
subsets_helbrf,LR,0.756301243099983,0.05579165059256213,0.7605120282925911,0.05939914708659631
subsets_helbrf,RF,0.7855326363701096,0.03362766106259973,0.7722746983393936,0.02773434073040179
subsets_helbrf,SVM,0.8176375232548108,0.05044833964244009,0.810417930593851,0.05037253556087099
subsets_helbrf,XGB,0.8084190774961882,0.026259145845254177,0.7954951047039514,0.02296822810864841
subsets_helf,LR,0.716390075204935,0.08092674147409493,0.7246150438263753,0.08837464689225454
subsets_helf,RF,0.820713754490631,0.0390649089548972,0.8096752156750713,0.042144943507410146
subsets_helf,SVM,0.8019074569138848,0.053595072612402095,0.7985768140254376,0.05924480441685982
subsets_helf,XGB,0.8016140332964798,0.0377806606566187,0.7945809301821503,0.046011146560034126
subsets_helfrf,LR,0.7241402091561129,0.06442767891726642,0.7303957720984069,0.07386493979057387
subsets_helfrf,RF,0.8185723597752702,0.03007294338697627,0.8094168914050748,0.03607267121103351
subsets_helfrf,SVM,0.7992308039218834,0.0694381940880964,0.7928486316973425,0.07462149635804236
subsets_helfrf,XGB,0.8055344600682549,0.02964089035199146,0.7969826933952724,0.03964899146327366
subsets_herf,LR,0.7416858511339505,0.06315703569023669,0.7468781310870132,0.07083545874283463
subsets_herf,RF,0.8073245461487684,0.02131131522619244,0.7979159802912684,0.02708509240743873
subsets_herf,SVM,0.8038550760160206,0.058794956265372386,0.797325043849075,0.06608373882093958
subsets_herf,XGB,0.7978188653999913,0.02757380182504019,0.7910659551085809,0.03713322623275383
subsets_lb,LR,0.7373154909754854,0.04746796783753509,0.7471782960418004,0.03775088395657416
subsets_lb,RF,0.7092610758004764,0.012328629126259844,0.7017255167161442,0.008684965605880713
subsets_lb,SVM,0.7580281759520553,0.04330022654933459,0.7629061043465267,0.036623094248732335
subsets_lb,XGB,0.7401430439508798,0.023930150926453033,0.7392464341820428,0.031797121010235456
subsets_lblf,LR,0.7477667112408366,0.026569315630530492,0.7647220740593694,0.028226862942478836
subsets_lblf,RF,0.7520169293184646,0.041420174926496356,0.7413290858054268,0.04135809688992878
subsets_lblf,SVM,0.7949751345705792,0.03183860416644896,0.8016337530791606,0.027971056894095465
subsets_lblf,XGB,0.7558898128353065,0.03642989673513201,0.7525878203835398,0.041186578026274845
subsets_lblfrf,LR,0.7242434133079112,0.05073432449049087,0.7356689456143302,0.05368296570430029
subsets_lblfrf,RF,0.75915865224335,0.04696468512989475,0.7488251415805471,0.04082150476662899
subsets_lblfrf,SVM,0.8145805582714531,0.036218814928514816,0.812946050218797,0.03131513236407927
subsets_lblfrf,XGB,0.7828860010393527,0.03670722945707743,0.7758331360210164,0.03750712198111881
subsets_lbrf,LR,0.7661952888003195,0.06309386672772023,0.7758101408307195,0.06374763394724112
subsets_lbrf,RF,0.7550209306950572,0.051709879205535214,0.7438118587989999,0.04350182199141166
subsets_lbrf,SVM,0.8130122620551647,0.032694466757481846,0.8110058489831257,0.02717659394929985
subsets_lbrf,XGB,0.7899842260020133,0.037515009721978874,0.7819446829745994,0.03572884107899482
subsets_lf,LR,0.7501459661412033,0.05560733198705043,0.7648534903783318,0.06508783346515766
subsets_lf,RF,0.7531405813133976,0.04916621939486018,0.7502842524749797,0.05151054326009031
subsets_lf,SVM,0.7612362377711491,0.057254547618780266,0.7688722750644877,0.060692197307120076
subsets_lf,XGB,0.7336476664283375,0.06478125314050386,0.733608351511759,0.06825160002103323
subsets_lfrf,LR,0.7277007329958685,0.0767291888071904,0.7324145403168691,0.08118926525687065
subsets_lfrf,RF,0.7682657591991358,0.05166405285320546,0.7635222772902417,0.05617422760899093
subsets_lfrf,SVM,0.7930336628636677,0.053325930020187345,0.7918784743225001,0.05954222740874821
subsets_lfrf,XGB,0.7982040048651212,0.03032967294631894,0.7967072098796816,0.03677872970589105
subsets_rf,LR,0.7655865351392939,0.06390303591697204,0.7713677749905428,0.07362958362381933
subsets_rf,RF,0.761353065407112,0.04877358456217224,0.7536262550561552,0.045621245349872754
subsets_rf,SVM,0.7933082778556446,0.0406490864180176,0.7920922655744741,0.04392760912007552
subsets_rf,XGB,0.7837858022074204,0.034365122808647,0.7828719571038184,0.03723228729170404
